Name;Type;GUID;Notes;Phase;Version;Priority;Stereotype;Fully Qualified Stereotype;Language;Author;Scope;Alias;Status;Complexity;Keywords;Is Abstract;Is Leaf;Is Root;Is Specification;Created Date;Modified Date;Requirement Difficulty;Requirement Priority;GenFile;Profile Metatype;CSV_KEY;CSV_PARENT_KEY
Binge-watching;Class;{D2A4BC05-D1CE-4d9e-AD74-65EEFF815EE1};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:17:42;11-юни-2021 19:24:06;;;;Class;CSV82F49F8B;
Sport;Class;{77A165A9-5275-4f01-BAF6-CD8533950D9C};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:18:00;11-юни-2021 19:27:05;;;;Class;CSV1DD6820C;
Travel;Class;{262846C1-A105-4ab1-8FE4-7DDAF488CF4A};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:18:22;11-юни-2021 19:24:06;;;;Class;CSVB8418F5F;
Influence;Class;{8B91E6EC-17E6-4f17-A945-B462F06AAEC8};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:18:29;11-юни-2021 19:27:05;;;;Class;CSVE0519221;
Ownership;Class;{BC4C98FC-56A4-4ddb-A679-1D1F456C1A33};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:20:26;11-юни-2021 19:27:05;;;;Class;CSV69B9DB25;
Spaceflight;Class;{D2BC62A9-5E9A-4fbb-B818-52B8DFF9B445};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:20:31;11-юни-2021 19:27:05;;;;Class;CSVBA90093A;
Competition;Class;{388FF3E0-1FE5-400c-B613-001F9C333B49};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:20:36;11-юни-2021 19:27:05;;;;Class;CSV657E0578;
Eclipse-chaser trip;Class;{EBD8FCFF-6DC2-4efe-B88F-41AF5B3B0A31};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:20:53;22-юни-2021 14:00:52;;;;Class;CSV245BFA65;
Brigade;Class;{86158914-A8E4-4328-9B20-7708AA200C69};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:20:58;22-юни-2021 14:00:52;;;;Class;CSVA57E203C;
Seminar;Class;{87B99B63-985A-4b3c-B40F-1EA22C9F7397};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:21:04;22-юни-2021 14:00:52;;;;Class;CSV783B6E57;
Computing;Class;{367BD446-BED5-4f9c-9A93-651029BC8336};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:21:10;11-юни-2021 19:27:05;;;;Class;CSV1532FD3F;
Conference;Class;{01E649F4-70C9-48ef-B3D9-B19FC046F52C};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:21:36;11-юни-2021 19:23:36;;;;Class;CSV70812765;
Eventbrite;Class;{B82D8CBB-478F-433a-AFD1-D1200D9B99CA};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:21:40;12-юни-2021 15:57:25;;;;Class;CSV6D1369C4;
Meetup;Class;{CE19A4F6-5C6C-4476-A87F-0D3CA9DC1BE7};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:21:44;12-юни-2021 15:57:25;;;;Class;CSVAFCF5BBF;
Club;Class;{9ECE7CBA-684C-43a3-87D1-9EC86F295642};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:21:50;11-юни-2021 19:23:36;;;;Class;CSV7E5B07E8;
MOOC;Class;{11B9287D-65DC-4c94-A240-C6B6CEAAB001};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:41:42;11-юни-2021 19:23:36;;;;Class;CSVDB5D3176;
Research;Class;{2262E3C7-87C1-4713-BE25-33C86535840F};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:43:21;11-юни-2021 19:23:36;;;;Class;CSV42841625;
